xi=0.01 xi=0.1 xi=1.0 xi=10.0 xi=100.0
1.000100010001 1.000100010001 1.000100010001 1.000100010001 1.000100010001
1.0004001600640255 1.0004001600640255 1.0004001600640255 1.0004001600640255 1.0004001600640255
1.0009008107296566 1.0009008107296566 1.0009008107296566 1.0009008107296566 1.0009008107296566
1.001602564102564 1.001602564102564 1.001602564102564 1.001602564102564 1.001602564102564
1.0025062656641603 1.0025062656641603 1.0025062656641603 1.0025062656641603 1.00250626566416
1.0036130068245686 1.0036130068245686 1.0036130068245686 1.0036130068245686 1.0036130068245652
1.0049241282283188 1.0049241282283188 1.0049241282283188 1.0049241282283183 1.004924128228289
1.0064412238325282 1.0064412238325282 1.0064412238325282 1.0064412238325262 1.0064412238323315
1.0081661457808246 1.0081661457808246 1.0081661457808246 1.0081661457808142 1.008166145779783
1.0101010101010102 1.0101010101010102 1.0101010101010095 1.0101010101009635 1.0101010100963619
1.0122482032594393 1.0122482032594393 1.0122482032594373 1.0122482032592586 1.0122482032413802
1.0146103896103895 1.0146103896103895 1.014610389610383 1.0146103896097636 1.0146103895477918
1.0171905197843556 1.0171905197843554 1.017190519784336 1.0171905197823834 1.0171905195871294
1.0199918400652794 1.0199918400652788 1.0199918400652221 1.019991840059549 1.0199918394922294
1.0230179028132993 1.0230179028132975 1.0230179028131439 1.0230179027977675 1.0230179012601321
1.026272577996716 1.026272577996712 1.0262725779963195 1.0262725779570832 1.0262725740334622
1.0297600659046442 1.0297600659046346 1.029760065903685 1.02976006580871 1.0297600563112466
1.0334849111202973 1.0334849111202755 1.0334849111180808 1.033484910898633 1.0334848889539294
1.0374520178441742 1.0374520178441256 1.03745201783926 1.0374520173527084 1.0374519686978796
1.0416666666666656 1.0416666666665617 1.0416666666561645 1.0416666656164268 1.0416665616441312
1.046134532900929 1.046134532900714 1.0461345328792182 1.0461345307296328 1.0461343157767495
1.0508617065994073 1.0508617065989758 1.0508617065558405 1.050861702242321 1.0508612709110388
1.055854714391291 1.0558547143904486 1.0558547143061974 1.0558547058810772 1.0558538634412264
1.061120543293702 1.0611205432920963 1.0611205431315305 1.0611205270749817 1.0611189216607504
1.0666666666666365 1.0666666666636442 1.0666666663644213 1.0666666364422022 1.0666636449900602
1.0725010725010173 1.0725010724955544 1.0725010719492605 1.0725010173201117 1.0724955567756154
1.078632294250791 1.0786322942410034 1.0786322932622407 1.078632195386693 1.0786224148804364
1.0850694444442703 1.0850694444270357 1.0850694427035863 1.085069270360664 1.0850520563621784
1.0918222513371807 1.091822251307315 1.0918222483207478 1.0918219496697037 1.091792141271797
1.0989010989005839 1.0989010988495895 1.0989010937501567 1.098900583822362 1.09884974513805
1.10631707047153 1.1063170703856444 1.1063170617971003 1.1063162029837872 1.1062307295716678
1.114081996433495 1.1140819962906736 1.114081982008537 1.114080553901355 1.1139387965728185
1.1222085063381073 1.122208506103397 1.1222084826323833 1.12220613580106 1.1219741089819224
1.130710085930113 1.1307100855486159 1.130710047398965 1.13070623310501 1.130331348775145
1.1396011395949401 1.1396011389811842 1.1396010776057683 1.1395949417006865 1.1389971112502395
1.1488970588136507 1.148897057835639 1.148896960034884 1.1488871838799135 1.14794663976657
1.158614297284827 1.1586142957402419 1.1586141412826665 1.15859870476304 1.1571401512171537
1.1687704534585006 1.1687704510393997 1.1687702091314538 1.1687460397684808 1.1665194297408352
1.1793843613253958 1.179384357566096 1.1793839816410645 1.1793464381380325 1.176005919210444
1.1904761904176095 1.1904761846181071 1.190475604678927 1.1904177212634957 1.1855019477741662
1.2020675561068996 1.2020675472208016 1.202066658635666 1.201978046107114 1.1948964538889029
1.2141816414369244 1.214181627908079 1.214180275077951 1.2140455329334514 1.2040752242886588
1.226843331899673 1.2268433114248194 1.2268412640579642 1.2266377027012918 1.212933523479622
