xi=0.01 xi=0.1 xi=1.0 xi=10.0 xi=100.0
2.7006172824825966e-08 2.700617283680749e-07 2.7006172821605443e-06 2.700617093350303e-05 0.00027005982243566315
3.8914184674824974e-08 3.891418464039606e-07 3.891418459219706e-06 3.8914179490626335e-05 0.00038913669343285936
5.524914426190897e-08 5.524914413397782e-07 5.524914398641985e-06 5.524913073458232e-05 0.0005524780571924575
7.73975295509903e-08 7.73975295865338e-07 7.73975292500305e-06 7.739749605954777e-05 0.0007739417730082115
1.0711383446782051e-07 1.0711383447990186e-06 1.0711383367449004e-05 0.00010711375323354336 0.0010710571064099532
1.4660493838783666e-07 1.466049382576795e-06 1.4660493636056094e-05 0.00014660474718243219 0.001465858351803615
1.9863181486088134e-07 1.986318146342897e-06 1.9863181031074005e-05 0.0001986313774713031 0.001985881160353745
2.6663193645700385e-07 2.666319362519769e-06 2.666319265878463e-05 0.00026663096091898453 0.0026653447743154417
3.5486637795814275e-07 3.548663777253079e-06 3.548663566786868e-05 0.00035486425166424016 0.003546540476631231
4.685963900576476e-07 4.685963894541556e-06 4.685963445271309e-05 0.0004685918530058267 0.0046814372428233865
6.142951361933495e-07 6.142951351589988e-06 6.142950411776862e-05 0.0006142856450110717 0.006133494377192649
7.999013948351134e-07 7.999013928588935e-06 7.999011998267151e-05 0.000799881899564303 0.007979628863162936
1.0351233497484988e-06 1.0351233458979914e-05 0.0001035122956088764 0.0010350839792144242 0.010312208446742167
1.331802196615282e-06 1.3318021888862983e-05 0.0001331801413955661 0.0013317239312576894 0.013240810935467164
1.7043472134527713e-06 1.7043471981804025e-05 0.00017043456799906755 0.0017041938939350303 0.01689328427016442
2.170256270039381e-06 2.1702562406761387e-05 0.00021702533066687024 0.002169960000110533 0.021415348899665513
2.7507385613591384e-06 2.750738505366515e-05 0.00027507329067568965 0.002750173316901296 0.026967633300926837
3.4714597525016233e-06 3.4714596467559094e-05 0.00034714490895104195 0.0034703941276273977 0.03371875484245877
4.3634338612846195e-06 4.3634336643575425e-05 0.00043634139756854306 0.004361447217633954 0.04183315381740514
5.464091234945853e-06 5.4640908715205506e-05 0.0005464054530693786 0.0054604261757217635 0.0514533321400425
6.818558104457467e-06 6.818557440019447e-05 0.0006818491007227922 0.006811863043146155 0.06267832286152059
8.481190703837613e-06 8.481189500210475e-05 0.0008481069147543626 0.008469074220910538 0.07554326228283727
1.0517416119080133e-05 0.00010517413956699236 0.0010517197748134265 0.010495681623138003 0.0900071351837285
1.3005943305257123e-05 0.00013005939451260685 0.0013005554082071468 0.012967285361840742 0.10595467372707276
1.6041421600694556e-05 0.0001604141478119259 0.001604073291861806 0.015973224477239884 0.12321326728640403
1.9737641194953104e-05 0.00019737629210599415 0.0019736430957287944 0.019618296851343857 0.141579388183469
2.4231391242315582e-05 0.00024231370314363424 0.002422927795152433 0.024024208407471177 0.16084583249780973
2.9687117646802716e-05 0.0002968708131525933 0.0029683449228232258 0.029330376609730518 0.18082271246956658
3.630255537351826e-05 0.00036302492644523995 0.0036296222303887917 0.03569352554613747 0.20134943384397316
4.431555114875396e-05 0.00044315443386437836 0.004430467334109494 0.043285306955065855 0.22229863452610224
5.4012343817669976e-05 0.0005401215954857031 0.0053993747469566035 0.05228704192010591 0.24357475239710505
6.573763432530254e-05 0.0006573732056703649 0.006570598005418553 0.06288075505686598 0.26510987559747723
7.990685895436993e-05 0.0007990632677285672 0.007985319211396462 0.0752361849497543 0.2868587623703837
9.70211829922765e-05 0.0009702028347849841 0.009693052827049572 0.08949458070493187 0.3087940955877284
0.00011768586375030924 0.0011768434810313136 0.011753324181626714 0.10575174195947247 0.33090243902795075
0.0001426328002245534 0.001426302534714931 0.014237664396693021 0.124044310359518 0.35318101191429435
0.00017274830279621794 0.0017274403376749772 0.017231959730813998 0.14434369840592864 0.3756352276342362
0.00020910739497977408 0.0020910025365170597 0.02083918038274643 0.16656040541824121 0.3982768787614312
0.00025301632020471344 0.0025300439431584745 0.025182484707025436 0.19055817255554522 0.42112284116318677
0.0003060653965803516 0.00306045507286815 0.03040863921245807 0.21617415654196767 0.4441941841260652
0.00037019497770631317 0.0037016184010538193 0.03669159811577215 0.24323986925083604 0.4675155949638662
0.0004477780871366437 0.004477229106211466 0.044235930750169995 0.27159852933032896 0.4911150481187551
0.000541724365627745 0.005416325154335108 0.053279554209408456 0.30111670489112113 0.5150236675389885
0.000655611397322948 0.00655458477794173 0.06409491962302738 0.33169028096104936 0.5392757465238838
0.0007938513935155548 0.007935966687026738 0.07698745077541877 0.36324605085310946 0.5639089015890782
0.000961903793108669 0.00961479097561694 0.09228976183549016 0.3957405716229502 0.5889643468665098
0.00116654784526188 0.011658388232974796 0.11035022723563565 0.4291576989933364 0.6144872838008215
0.001416234039836353 0.014150482731968974 0.13151519190591185 0.4635057955831283 0.6405274080824664
0.001721539874286232 0.017195524865279165 0.15610579617997672 0.4988152098642656 0.6671395424495883
0.002095764659889086 0.02092425022272448 0.18439293554499506 0.5351363348415719 0.6943844107397131
0.0025557110021414554 0.02550081886702001 0.21657635898883684 0.5725383787284904 0.7223295759237724
0.0031227189084011 0.03113197667457831 0.25277469462356433 0.6111088891866352 0.7510505733967109
0.003824044678734652 0.0380787727435749 0.2930309736836891 0.6509540394119517 0.7806322812382706
0.004694714606378521 0.046671440972049144 0.3373334705424568 0.6921996866833288 0.8111705823826174
0.005780038848269046 0.05732806221231559 0.3856468362338513 0.7349932383849611 0.8427743908424091
0.007139052613543313 0.07057747267102972 0.43794624479756583 0.7795064002481114 0.8755681369729834
0.008849274181167295 0.08708641038008473 0.4942483838129935 0.8259389350356579 0.9096948375849618
0.011013354674260118 0.10768984278350653 0.5546362534692201 0.874523629515549 0.9453199189244904
0.013768479242663233 0.13342149439947124 0.6192779132004587 0.9255327594528246 0.982636019169557
0.017299822591178453 0.16553865246241264 0.688441360317296 0.9792864669351449 1.0218690796946202
0.02186006172259263 0.20553193427619268 0.762508556509774 1.0361636381196637 1.0632861524852677
0.027798069564718413 0.25510904317084704 0.8419917345674293 1.0966161182558445 1.1072055227294855
0.03560173221276388 0.316146012441891 0.9275550812088958 1.1611874655426677 1.1540099993447746
0.04596282023348408 0.3906147137140459 1.0200451123899625 1.230537992358281 1.2041646083917505
0.059876794322647246 0.4805200821268039 1.1205338175676358 1.3054786817537074 1.2582405120258155
0.07879864551722775 0.5879007772289508 1.2303802284416923 1.3870178865312845 1.3169479002448685
0.1048893885773145 0.7149436401471251 1.3513188991841694 1.4764268471852828 1.3811820948435263
0.14140932597923744 0.8642337842531209 1.4855886722325442 1.5753336008761587 1.452089582777641
0.1933456002611388 1.039135773704151 1.6361235981365516 1.6858609198868368 1.5311649455226426
0.2683982038890765 1.244309766825586 1.8068430630862955 1.8108347164042609 1.6203972114958354
0.3784637172398842 1.4864207458743297 2.003106425358948 1.954109404715423 1.7224981916521491
0.5416812813852684 1.7751989233909842 2.232452634964973 2.1210958396009403 1.8412727209866149
0.7848974110461587 2.1251831449463126 2.505859540305512 2.319658372142007 1.9822472802870186
1.1464728897624707 2.5588351552114816 2.84001126630249 2.5617270616080514 2.1537988181090495
1.6812292152138189 3.1125630303301555 3.261676070747183 2.8664049670023264 2.3693283315848594
2.474761385771012 3.849493815243793 3.8169539122426936 3.2665194571312366 2.651838686137925
3.6847789464067 4.890025451901173 4.593308629265225 3.824198084611329 3.044805124498052
5.661351157456277 6.498550810275518 5.781853569635036 4.674796481173213 3.642788377788304
9.389101162797168 9.405573982884334 7.907620444911668 6.1888249425989175 4.704076819329485
19.24982817779586 16.812108159988746 13.253429299102022 9.96918844582691 7.342640169998867
