xi=0.01 xi=0.1 xi=1.0 xi=10.0 xi=100.0
1.000100010001 1.000100010001 1.000100010001 1.000100010001 1.000100010001
1.0004001600640255 1.0004001600640255 1.0004001600640255 1.0004001600640255 1.0004001600640255
1.0009008107296566 1.0009008107296566 1.0009008107296566 1.0009008107296566 1.0009008107296566
1.001602564102564 1.001602564102564 1.001602564102564 1.001602564102564 1.001602564102564
1.0025062656641603 1.0025062656641603 1.0025062656641603 1.0025062656641603 1.0025062656641601
1.0036130068245686 1.0036130068245686 1.0036130068245686 1.0036130068245686 1.0036130068245663
1.0049241282283188 1.0049241282283188 1.0049241282283188 1.0049241282283186 1.004924128228299
1.0064412238325282 1.0064412238325282 1.0064412238325282 1.0064412238325269 1.006441223832397
1.0081661457808246 1.0081661457808246 1.0081661457808246 1.0081661457808178 1.0081661457801303
1.0101010101010102 1.0101010101010102 1.0101010101010097 1.010101010100979 1.0101010100979113
1.0122482032594393 1.0122482032594393 1.012248203259438 1.0122482032593187 1.0122482032473998
1.0146103896103895 1.0146103896103895 1.0146103896103853 1.0146103896099723 1.0146103895686578
1.0171905197843556 1.0171905197843556 1.0171905197843425 1.0171905197830409 1.0171905196528714
1.0199918400652794 1.019991840065279 1.0199918400652412 1.0199918400614592 1.0199918396832461
1.0230179028132993 1.0230179028132982 1.0230179028131956 1.0230179028029447 1.0230179017778545
1.026272577996716 1.0262725779967132 1.0262725779964517 1.0262725779702941 1.0262725753545467
1.0297600659046442 1.0297600659046378 1.0297600659040047 1.0297600658406882 1.0297600595090457
1.0334849111202975 1.0334849111202828 1.0334849111188198 1.0334849109725213 1.0334848963427188
1.0374520178441744 1.037452017844142 1.0374520178408984 1.0374520175165305 1.0374519850799777
1.041666666666666 1.0416666666665968 1.0416666666596652 1.0416666659665068 1.0416665966516419
1.0461345329009297 1.0461345329007863 1.0461345328864557 1.046134531453399 1.0461343881514718
1.0508617065994086 1.050861706599121 1.0508617065703643 1.0508617036946846 1.0508614161404763
1.055854714391294 1.0558547143907324 1.055854714334565 1.055854708717818 1.0558541470911746
1.0611205432937074 1.061120543292637 1.061120543185593 1.0611205324812272 1.0611194622047977
1.0666666666666464 1.0666666666646516 1.0666666664651698 1.0666666465170236 1.0666646522146446
1.0725010725010358 1.0725010724973938 1.0725010721331978 1.072501035713765 1.0724973953476158
1.078632294250824 1.0786322942442987 1.0786322935917905 1.0786322283414242 1.0786257079938668
1.0850694444443285 1.0850694444328386 1.0850694432838723 1.0850693283885877 1.08505785235864
1.0918222513372813 1.0918222513173708 1.0918222493263259 1.0918220502256206 1.0918021778680944
1.0989010989007555 1.0989010988667594 1.0989010954671374 1.0989007555152475 1.0988668627924096
1.106317070471819 1.106317070414562 1.106317064688866 1.1063164921465818 1.1062595091231795
1.1140819964339759 1.1140819963387616 1.1140819868173373 1.1140810347456749 1.113986527814923
1.1222085063388976 1.122208506182424 1.1222084905350815 1.1222069259803096 1.1220522359943887
1.1307100859313974 1.130710085677066 1.1307100602439655 1.1307075173798702 1.1304575803971024
1.1396011395970067 1.139601139187836 1.1396010982708917 1.139597007663759 1.1391984184525912
1.1488970588169436 1.1488970581649358 1.1488969929644315 1.1488904755183547 1.1482633587279587
1.1586142972900275 1.158614296260304 1.158614193288585 1.1586039022521868 1.1576313247260472
1.1687704534666457 1.1687704518539117 1.1687702905819422 1.1687541776166361 1.1672692888623406
1.1793843613380532 1.1793843588318536 1.1793841082151522 1.179359079077651 1.177130989909923
1.1904761904371366 1.1904761865708016 1.1904757999446496 1.1904372106819798 1.18715771502066
1.2020675561368193 1.2020675502127538 1.202066957822589 1.2020078820630231 1.1972820553205534
1.214181641482476 1.2141816324632457 1.2141807305763228 1.2140909007847815 1.207434648388792
